	Unnamed: 0	tweet_id	type	begin	end	span	tweet
60	60	SMM4H2022NI5d1UHevv5Gy02R	ADE	51	56	awake	@USER____ if i don't take my quetiapine i can stay awake for days!
61	61	SMM4H2022QAxE14vIZVwsF3QR	ADE	17	26	out of it	new meds have me out of it. i want therapy not doping up! i was highly functioning now have trouble standing! #quetiapine #bipolar
62	62	SMM4H2022QAxE14vIZVwsF3QR	ADE	47	56	doping up	new meds have me out of it. i want therapy not doping up! i was highly functioning now have trouble standing! #quetiapine #bipolar
63	63	SMM4H2022D8UrISRBTtsFUR7I	ADE	0	7	-9.5lbs	-9.5lbs in 14 days. obvious now that i should have stopped the quetiapine a long long time ago before i got in this state
64	64	SMM4H20227Rn12JLGfr7YzqFT	ADE	107	132	horrid intrusive thoughts	extra quetiapine and two zopiclone still aren't helping me sleep. head full of broken biscuits at 4am with horrid intrusive thoughts
65	65	SMM4H20222xKrdNCWviBUA9Iy	ADE	71	79	allergic	(triggering) so... i'm taking quetiapine and tramadol pre-cutting. i'm allergic to tramadol...this should be interesting #selfharm
66	66	SMM4H2022benpjPl9VmEGvKI9	ADE	25	30	sleep	all i have done today is sleep. and i still need to sleep more. this is a welcome change. #quetiapine
67	67	SMM4H2022yO9PYUGtKH9L26Qa	ADE	123	136	hallucinating	toothache. discovered that somewhere in the paracetamol, codeine, sertraline #quetiapine combination there is a bad mix. #hallucinating
68	68	SMM4H20228boNxgDfjPD6Ck9v	ADE	89	98	dry mouth	@USER_______ quetiapine made me eat all the sweets, the sour ones seem to help with the dry mouth
69	69	SMM4H2022CGCQVPPRqdgWYdT0	ADE	116	138	20 hours a day, asleep	@USER_________ Quetiapine perhaps gives most dramatic effect for single low dose. No, pts are not being lazy in bed 20 hours a day, asleep!
70	70	SMM4H2022nijIhNIpAFwzFAv3	ADE	55	71	prolactin levels	rt @USER__________: since quetiapine's messed with my prolactin levels, making my boobs humungous &amp; my bras so expensive, i want a lingerie'
71	71	SMM4H2022nijIhNIpAFwzFAv3	ADE	83	98	boobs humungous	rt @USER__________: since quetiapine's messed with my prolactin levels, making my boobs humungous &amp; my bras so expensive, i want a lingerie'
72	72	SMM4H2022QDw0RUIGiiSF06Si	ADE	57	75	knee still painful	rivaroxaban diary day 8. left knee is much better. right knee still painful. back ache receding but suspect it will come back once in bed.
73	73	SMM4H2022QDw0RUIGiiSF06Si	ADE	77	86	Back ache	rivaroxaban diary day 8. left knee is much better. right knee still painful. back ache receding but suspect it will come back once in bed.
74	74	SMM4H2022mJE7B68NciZl6Ec3	ADE	32	47	Lower back ache	08.15 day 13 Rivaroxaban diary. Lower back ache, neck ache, hips and knees ache, short of breath, (am asthmatic) taken 2paracetamol, to bed.
75	75	SMM4H2022mJE7B68NciZl6Ec3	ADE	49	58	neck ache	08.15 day 13 Rivaroxaban diary. Lower back ache, neck ache, hips and knees ache, short of breath, (am asthmatic) taken 2paracetamol, to bed.
76	76	SMM4H2022mJE7B68NciZl6Ec3	ADE	60	64	hips	08.15 day 13 Rivaroxaban diary. Lower back ache, neck ache, hips and knees ache, short of breath, (am asthmatic) taken 2paracetamol, to bed.
77	77	SMM4H2022mJE7B68NciZl6Ec3	ADE	69	79	knees ache	08.15 day 13 Rivaroxaban diary. Lower back ache, neck ache, hips and knees ache, short of breath, (am asthmatic) taken 2paracetamol, to bed.
78	78	SMM4H2022mJE7B68NciZl6Ec3	ADE	81	96	short of breath	08.15 day 13 Rivaroxaban diary. Lower back ache, neck ache, hips and knees ache, short of breath, (am asthmatic) taken 2paracetamol, to bed.
79	79	SMM4H2022ztEzLQkm4v7rc5Xy	ADE	42	50	backache	13.24 day 15 rivaroxaban diary. atrocious backache despite having taken paracetamol an hour ago. gone back to bed.
80	80	SMM4H2022fE3HMexQbOOyry9r	ADE	26	49	muscle &amp; back pains	rivaroxaban diary day 25 muscle &amp; back pains were due to being on rvxbn for 10 days, on it + losartan for 8 days, + losartan only for 4 days
81	81	SMM4H2022fE3HMexQbOOyry9r	ADE	39	49	back pains	rivaroxaban diary day 25 muscle &amp; back pains were due to being on rvxbn for 10 days, on it + losartan for 8 days, + losartan only for 4 days
82	82	SMM4H2022D8p9FUdZH4VNqDvl	ADE	109	124	not remembering	@USER___________ is my memory really bad due to 900mg seroquel and 120mg cymbalta or the bipolar itself? i'm not remembering conversations
83	83	SMM4H2022qeMxbvH69elnrSxO	ADE	81	91	drowsiness	@USER_________ @USER________ I'm pretty lucid in all my dreams, and the Seroquel drowsiness carried over into the dream. LOLOL.
84	84	SMM4H2022bf8sD2fJDMAUkHoQ	ADE	34	78	sleep on my own. but i got at least 16 hours	i can only get about 7-8 hours of sleep on my own. but i got at least 16 hours with seroquel. i now see how people can get addicted.
85	85	SMM4H2022VCgadl0A1WwurEKR	ADE	67	80	sugar crashes	maybe cos of the insulin blocking effect of seroquel but i do feel sugar crashes when eat fast carbs. will feel ill. so avoid where poss.
86	86	SMM4H2022VCgadl0A1WwurEKR	ADE	107	115	feel ill	maybe cos of the insulin blocking effect of seroquel but i do feel sugar crashes when eat fast carbs. will feel ill. so avoid where poss.
87	87	SMM4H2022OHXhXMEFXXeB5ckX	ADE	61	74	won't wake up	trazodone isn't working. can't take seroquel at 430 am or i won't wake up until after 2 pm. stuck, painfully awake.
88	88	SMM4H2022EHC8K4XsHVygHMUn	ADE	9	21	not remember	why do i not remember going to bed or waking up (the answer: probably seroquel)
89	89	SMM4H2022LLbPKQqYcsYyYceo	ADE	91	126	feels like I have raw nerve endings	i can't take this:( i thought having seroquel would make it easier but nope. my whole body feels like i have raw nerve endings going crazy
90	90	SMM4H2022dWRKt5ZNZcqhL3og	ADE	88	115	sleep for 12 straight hours	@USER________ and with seroquel i take half of a 25mg pill. and it knocks me out; i can sleep for 12 straight hours
91	91	SMM4H2022BeKCxEcFC6g1Yf7S	ADE	84	104	urge to procure food	waitt..here it comes..the #seroquel is pulling me under..also i now have the sudden urge to procure food.. #fmlimugly
92	92	SMM4H2022OMnjRitKpo8qpeNJ	ADE	92	102	dependence	but i don't want to take an ambien or trazodone or anything because i dint wanna restart my dependence upon them
93	93	SMM4H2022VWLdzAhteSRi8nTA	ADE	50	56	asleep	i think it's bad i'm consistently in bed by 9 and asleep by 9:15. #trazodone
94	94	SMM4H2022ucQBccE7i5PwWhb1	ADE	36	59	knocked me the fuck out	holy shit, that trazodone actually knocked me the fuck out and took me for a ride
95	95	SMM4H2022BH7beYzUpJkRyFpx	ADE	34	38	high	trazodone is fun because you get high, slowly fade into sleep, then wake up drunk as hell.
96	96	SMM4H2022BH7beYzUpJkRyFpx	ADE	77	82	drunk	trazodone is fun because you get high, slowly fade into sleep, then wake up drunk as hell.
97	97	SMM4H2022eIJ54Zcr9Nca3JD7	ADE	104	113	tolerance	i wish xanax made me tired. i also wish ambien, trazodone, lorazepam, lunesta, and temazepam did too. #tolerance #fml
98	98	SMM4H20223J3KkZVhEMca3bYB	ADE	28	42	sleep schedule	trazodone has screwed up my sleep schedule. its helping tho.
99	99	SMM4H2022dulneTTVNOwSbAPl	ADE	77	111	felt like I.had a frontal lobotomy	@USER__________ it works otherwise. my pcp started me on trazodone before. i felt like i.had a frontal lobotomy the following day
100	100	SMM4H2022Uh7y5V22RVHTsXlc	ADE	58	62	sick	My Philly dr prescribed me Trazodone,1pill made me so fkn sick, couldnt move 2day.Xtreme migraine, puke, shakes. Any1else get that react?
101	101	SMM4H2022Uh7y5V22RVHTsXlc	ADE	64	76	couldnt move	My Philly dr prescribed me Trazodone,1pill made me so fkn sick, couldnt move 2day.Xtreme migraine, puke, shakes. Any1else get that react?
102	102	SMM4H2022Uh7y5V22RVHTsXlc	ADE	89	97	migraine	My Philly dr prescribed me Trazodone,1pill made me so fkn sick, couldnt move 2day.Xtreme migraine, puke, shakes. Any1else get that react?
103	103	SMM4H2022Uh7y5V22RVHTsXlc	ADE	99	103	puke	My Philly dr prescribed me Trazodone,1pill made me so fkn sick, couldnt move 2day.Xtreme migraine, puke, shakes. Any1else get that react?
104	104	SMM4H2022Uh7y5V22RVHTsXlc	ADE	105	111	shakes	My Philly dr prescribed me Trazodone,1pill made me so fkn sick, couldnt move 2day.Xtreme migraine, puke, shakes. Any1else get that react?
105	105	SMM4H2022iKOb7fTQc87fxthS	ADE	49	59	nightmares	i went down to 100 mg of trazodone at night. the nightmares are gone but my insomnia got worse.
106	106	SMM4H2022iKOb7fTQc87fxthS	ADE	76	84	insomnia	i went down to 100 mg of trazodone at night. the nightmares are gone but my insomnia got worse.
107	107	SMM4H2022EgnWPzzeZU2KWyKc	ADE	16	21	tired	sick of feeling tired. fed up of meds not working. loads to do today &amp; no freaking motivation or energy #venlafaxine #day9
108	108	SMM4H2022EgnWPzzeZU2KWyKc	ADE	75	97	no freaking motivation	sick of feeling tired. fed up of meds not working. loads to do today &amp; no freaking motivation or energy #venlafaxine #day9
109	109	SMM4H2022EgnWPzzeZU2KWyKc	ADE	101	107	energy	sick of feeling tired. fed up of meds not working. loads to do today &amp; no freaking motivation or energy #venlafaxine #day9
110	110	SMM4H20224b4uMAJCbrZyURvB	ADE	9	14	sleep	11 hours sleep and still i feel tired and dizzy #venlafaxine #day10
111	111	SMM4H20224b4uMAJCbrZyURvB	ADE	32	37	tired	11 hours sleep and still i feel tired and dizzy #venlafaxine #day10
112	112	SMM4H20224b4uMAJCbrZyURvB	ADE	42	47	dizzy	11 hours sleep and still i feel tired and dizzy #venlafaxine #day10
113	113	SMM4H2022lJa05ogltSExO4Jd	ADE	52	58	drowsy	so it seems that  if i take #venlafaxine in am i am drowsy all day. if i take in pm i don't sleep well. go figure.  #day14
114	114	SMM4H2022lJa05ogltSExO4Jd	ADE	86	102	don't sleep well	so it seems that  if i take #venlafaxine in am i am drowsy all day. if i take in pm i don't sleep well. go figure.  #day14
115	115	SMM4H2022g8QKcmebPc1oDvt6	ADE	0	23	Feel crap every morning	feel crap every morning. wake up after another restless night and just want to cry. #venlafaxine #day16
116	116	SMM4H2022g8QKcmebPc1oDvt6	ADE	47	61	restless night	feel crap every morning. wake up after another restless night and just want to cry. #venlafaxine #day16
117	117	SMM4H2022Qk1JPnuWRE3B5g4A	ADE	80	93	carb cravings	i low carb but have just eaten my body weight in freakin carbs! i only hope the carb cravings are because i'm coming off the #venlafaxine
118	118	SMM4H2022bkrj19PBcARmknPv	ADE	0	6	Dreamt	dreamt i was squirting acid at wood lice - i woke screaming when they came at me. i do hope the dreams are the #venlafaxine withdrawal.
119	119	SMM4H2022bkrj19PBcARmknPv	ADE	96	102	dreams	dreamt i was squirting acid at wood lice - i woke screaming when they came at me. i do hope the dreams are the #venlafaxine withdrawal.
120	120	SMM4H2022bkrj19PBcARmknPv	ADE	124	134	withdrawal	dreamt i was squirting acid at wood lice - i woke screaming when they came at me. i do hope the dreams are the #venlafaxine withdrawal.
121	121	SMM4H2022SwS4YelEVMuklFb0	ADE	95	109	dreamt colours	@USER_________ i tried that going cold turkey on venlafaxine and depakote is not a good idea i dreamt colours and lost my fucking mind aghh!
122	122	SMM4H2022SwS4YelEVMuklFb0	ADE	114	134	lost my fucking mind	@USER_________ i tried that going cold turkey on venlafaxine and depakote is not a good idea i dreamt colours and lost my fucking mind aghh!
123	123	SMM4H2022o7kegQpkLFULWVX8	ADE	57	71	falling asleep	high off tramadol and venlafaxine in school omg help i'm falling asleep here
124	124	SMM4H2022RSKvAYDJl8dwaIuq	ADE	113	120	sickest	holy shit no more xanax or risperidone. i will have withdrawals. still on viibryd but it's next. it makes me the sickest.
125	125	SMM4H2022WvedEsS1LDvasqyW	ADE	32	39	ZOMBIES	@USER___ VYVANSE GOT ME UP LIKE ZOMBIES.. XAN'S PUT ME DOWN, THEM BITCHES CALL ME ROMNEY.. THE WAY I STEADY CLOWN #txfreestyle #barrdout
126	126	SMM4H2022jCqj2okGd5TN8OHm	ADE	78	103	eat because I just forget	@USER___________ yeah, i'm on vyvanse and sometimes i have to be reminded to eat because i just forget.
127	127	SMM4H2022mbTDmWYLFo7sRtRK	ADE	19	24	hyper	vyvanse make me so hyper and creative and i think of so many tweets
128	128	SMM4H2022YuW8f8FaAmgQSVTd	ADE	27	46	Can't. Stop. Moving	vyvanse = 5 lines of coke. can't. stop. moving.
129	129	SMM4H2022Oz4Ui95iikJ6A6ii	ADE	17	29	felt drugged	@USER_________ i felt drugged on ritalin. i love vyvanse. i can't tell i'm on it except for feeling better and calmer and more structured
130	130	SMM4H2022CNijOKiujM889zKU	ADE	85	95	lose focus	when im tweaked off vyvanse  i cant go into my room...cuse if i look at my shoes ill lose focus of everything and just think bout them
131	131	SMM4H2022mw6oi18SKs3Efa2I	ADE	4	13	come down	the come down on vyvanse kicks my ass every time
132	132	SMM4H2022sxTvQVz54AtfAPk5	ADE	45	71	feel like crying but can't	thought of work is overwhelming me so much i feel like crying but can't because olanzapine has me trapped in a zombie state #strugglewithin
133	133	SMM4H2022sxTvQVz54AtfAPk5	ADE	111	117	zombie	thought of work is overwhelming me so much i feel like crying but can't because olanzapine has me trapped in a zombie state #strugglewithin
134	134	SMM4H2022GeA41Hjjzv1DS4lE	ADE	46	55	Lethargic	5hrs sleep last night but stayed awake today. lethargic &amp; low still. in bed &amp; can feel myself going hot &amp; cold :(  #venlafaxine #day7
135	135	SMM4H2022GeA41Hjjzv1DS4lE	ADE	108	122	hot &amp; cold	5hrs sleep last night but stayed awake today. lethargic &amp; low still. in bed &amp; can feel myself going hot &amp; cold :(  #venlafaxine #day7
136	136	SMM4H2022SGHHuKJriEkstZJb	ADE	26	32	hungry	@USER_________ q makes me hungry. olanzapine made me want to eat my own arm!
137	137	SMM4H2022SGHHuKJriEkstZJb	ADE	53	75	want to eat my own arm	@USER_________ q makes me hungry. olanzapine made me want to eat my own arm!
138	138	SMM4H2022E6s3ZSYAJmXlFOc0	ADE	105	137	 parody of an actual human being	Wellbutrin, Zyprexa, Xanax, Effexor, Lamotrigine, Valium. Every day. I'm not even a person anymore. I'm a parody of an actual human being.
139	139	SMM4H20226IQoqqYKTmEUbM8A	ADE	13	26	try for sleep	i'm going to try for sleep. real sleep. not that light bastard that #venlafaxine brings me.
140	140	SMM4H20226IQoqqYKTmEUbM8A	ADE	49	62	light bastard	i'm going to try for sleep. real sleep. not that light bastard that #venlafaxine brings me.
141	141	SMM4H2022SViZRNF7h8tK7NJt	ADE	62	75	wiping me out	cannot decide whether to take meds today. the #venlafaxine is wiping me out like the #citalopram did. i can't function on them. #day11
142	142	SMM4H2022SViZRNF7h8tK7NJt	ADE	104	118	can't function	cannot decide whether to take meds today. the #venlafaxine is wiping me out like the #citalopram did. i can't function on them. #day11
143	143	SMM4H2022lGYAsqPsFh769cYN	ADE	38	73	feel like I am in a straight jacket	after taking olanzapine i wake up and feel like i am in a straight jacket because my muscles feel stiff
144	144	SMM4H2022lGYAsqPsFh769cYN	ADE	85	103	muscles feel stiff	after taking olanzapine i wake up and feel like i am in a straight jacket because my muscles feel stiff
145	145	SMM4H2022SLEqUomWLd15oEe1	ADE	18	30	light' sleep	another night of 'light' sleep. feel low. subdued. sad.  #venlafaxine #day12
146	146	SMM4H2022SLEqUomWLd15oEe1	ADE	32	40	Feel low	another night of 'light' sleep. feel low. subdued. sad.  #venlafaxine #day12
147	147	SMM4H2022SLEqUomWLd15oEe1	ADE	42	49	Subdued	another night of 'light' sleep. feel low. subdued. sad.  #venlafaxine #day12
148	148	SMM4H2022SLEqUomWLd15oEe1	ADE	51	54	Sad	another night of 'light' sleep. feel low. subdued. sad.  #venlafaxine #day12
149	149	SMM4H2022uKCKtFPRRhCxKquD	ADE	75	89	sleep problems	if i become high i will not increase the lamotrigine as this will fuel the sleep problems
150	150	SMM4H2022p43TLs5lPY0L3PsP	ADE	86	101	 tired daytimes	tonight i am taking my #venlafaxine in the evening in pursuit of better sleep and less tired daytimes. wish me luck.
151	151	SMM4H202252dACVASDA9kdjfv	ADE	0	10	Over-eaten	over-eaten again just before bed. stuffed. good chance i will choke on my own vomit during sleep. i blame #olanzapine #timetochange #bipolar
152	152	SMM4H2022UQ0dETyqhj5QZBp8	ADE	58	69	interaction	ooooop. anyone know if amoxicillin and pregabalin have an interaction? never had one with fluoxetine and losartan... so dizzy!
153	153	SMM4H2022UQ0dETyqhj5QZBp8	ADE	120	125	dizzy	ooooop. anyone know if amoxicillin and pregabalin have an interaction? never had one with fluoxetine and losartan... so dizzy!
154	154	SMM4H2022crHrK2qNiPTkoa8l	ADE	120	126	sleepy	husband said i was a little 'high' tonight so encouraged me to take 7.5mg of olanzapine. now feel really really really sleepy, zzzz....
155	155	SMM4H2022Cos7EsH4952z381p	ADE	90	98	comatose	@USER_______ not getting any better here so dragging myself to gp. i'd rather be mad than comatose! hope ur doing ok #quetiapine
156	156	SMM4H2022em9D7vcTx57ysY1J	ADE	128	133	manic	@USER_____ jus Gt bck myself, hes puT me on citalopram in addition 2 the quetiapine! Im a bit worried as citalopram has made me manic before
157	157	SMM4H2022qfOgv9ifWEP76eKV	ADE	90	96	dreams	RP McMurphy was right about the trazodone being my new favorite bed-buddy. RIP, melatonin dreams. You were getting too weird - even for me.
158	158	SMM4H2022UsugDFbDS0YHUztc	ADE	0	7	Tearful	tearful this morning. desperately poor nights sleep. utterly fucked up by withdrawing so quickly from lamotrigine
